FONDBOLAG	FONDNUMMER	FONDNAMN	VALUTA	FONDAVGIFT	BRUTTO AVG	TKA	KATEGORI	EXTERID	FOND_I_FOND	RESULTATBEROENDE	SLOW	SPREAD	MILJÖETISK	FÖRLÄNGD	STARTDATUM	AVSLUTSDATUM	FONDSTATUS
Amundi Luxembourg S.A. 	819904	Amundi Funds Equity Emerging Conservative	EUR	0,76	2,25	2,31	Nya marknader	LU0945154085	N	J	J	N		0	2014-08-20		1
Amundi Luxembourg S.A. 	990028	Amundi Funds Equity Emerging Europe	EUR	0,87	2,48	2,68	Östeuropa	LU0119094000	N	J	J	N		0	2011-06-14	2014-09-22	5
Amundi Luxembourg S.A. 	161687	Amundi Funds Equity Emerging World	USD	0,76	2,41	2,52	Nya marknader	LU0347592197	N	J	J	N		0	2011-06-14		1
Amundi Luxembourg S.A. 	125856	Amundi Funds Equity Euro	EUR	0,62	1,77	1,76	Euroland	LU0401973978	N	J	J	N		0	2011-06-14		1
Amundi Luxembourg S.A. 	707638	Amundi Funds Equity Europe Concentrated	EUR	0,66	1,90	1,86	Europa	LU0401974943	N	J	J	N		0	2011-06-27		1
Amundi Luxembourg S.A. 	103309	Amundi Funds Equity Europe Conservative	EUR	0,65	1,86	1,79	Europa	LU0755949848	N	J	J	N		0	2014-09-16		1
Amundi Luxembourg S.A. 	954198	Amundi Funds Equity Europe Restructuring	EUR		2,44		Europa	LU0319685003	N	J	J	N		0	2011-06-14	2013-11-20	5
Amundi Luxembourg S.A. 	340836	Amundi Funds Equity Global Alpha	USD		1,98		Global	LU0568578008	N	J	J	N		0	2011-06-14	2013-12-02	5
Amundi Luxembourg S.A. 	704502	Amundi Funds Equity Global Concentrated	USD	0,65	1,87	1,67	Global	LU1050467312	N	J	J	N		0	2015-03-27		1
Amundi Luxembourg S.A. 	728824	Amundi Funds Equity Global Conservative	USD	0,65	1,87	1,83	Global	LU0801842559	N	J	J	N		0	2013-10-22		1
Amundi Luxembourg S.A. 	305003	Amundi Funds Equity Global Gold Mines	USD	0,76	2,33	2,40	Övriga branscher	LU0568608276	N	J	J	N		0	2011-06-14		1
Amundi Luxembourg S.A. 	233346	Amundi Funds Equity Global Luxury and Lifestyle	USD	0,76	2,27	2,22	Övriga branscher	LU0568611650	N	J	J	N		0	2011-06-14		1
Amundi Luxembourg S.A. 	918367	Amundi Funds Equity Global Resources	USD	0,76	2,25	2,28	Övriga branscher	LU0347594136	N	J	J	N		0	2011-06-14		1
Amundi Luxembourg S.A. 	303412	Amundi Funds Equity Global Select	USD	0,69	1,94		Global	LU0119137254	N	J	J	N		0	2002-02-21	2015-05-13	5
Amundi Luxembourg S.A. 	197632	Amundi Funds Equity Greater China	USD	0,76	2,28	2,59	Kina	LU0165623512	N	J	J	N		0	2006-11-29		1
Amundi Luxembourg S.A. 	233460	Amundi Funds Equity India	USD	0,76	2,28	2,61	Övriga länder	LU0236501697	N	J	J	N		0	2006-11-29		1
Amundi Luxembourg S.A. 	269175	Amundi Funds Equity Japan CoreAlpha	JPY	0,72	1,95		Japan	LU0568579824	N	N	J	N		0	2011-06-14	2012-07-11	5
Amundi Luxembourg S.A. 	174490	Amundi Funds Equity Japan Value	JPY	0,70	2,04	2,00	Japan	LU0248702192	N	N	J	N		1	2009-04-15		1
